year,make,number
2012,SCHOPF,7
2012,SSANGYONG,49
2012,T.C.M.,36
2012,TADANO FAUN,9
2012,TLD,24
2012,TOYOTA,1051
2012,TREPEL,5
2012,VOLKSWAGEN,28
2012,VOLVO,165
2012,YALE,18
2013,BEIBEN,8
2013,BEIQI,5
2013,CATERPILLAR,7
2013,CHEVROLET,12
2013,CITROEN,51
2013,D.A.F.,55
2013,DEMAG,10
2013,DONGFENG,8
2013,FIAT,134
2013,FOTON,26
2013,GALLOP,21
2013,HINO,235
2013,HYUNDAI,79
2013,ISUZU,967
2013,IVECO,129
2013,JBT AEROTECH,12
2013,KALMAR,10
2013,KIA,16
2013,KOMATSU,39
2013,LAND ROVER,8
2013,LIEBHERR,10
2013,LINDE,6
2013,MAN,152
2013,MERCEDES BENZ,137
2013,MITSUBISHI,1134
2013,NISSAN,1072
2013,OPEL,17
2013,OTHERS,64
2013,PEUGEOT,13
2013,RENAULT,21
2013,SCANIA,241
2013,SHACMAN,5
2013,SSANGYONG,52
2013,T.C.M.,36
2013,TADANO FAUN,15
2013,TEREX,25
2013,TOYOTA,1495
2013,UD TRUCKS,77
2013,VOLKSWAGEN,21
2013,VOLVO,275
2013,YALE,31
2013,ZOOMLION,14
2014,AMSS,10
2014,Camel Aerotech,6
2014,CATERPILLAR,9
2014,CITROEN,106
2014,D.A.F.,12
2014,DULEVO,18
2014,FIAT,250
2014,FORD,11
2014,GROVE,8
2014,HC,5
2014,HINO,327
2014,HYUNDAI,134
2014,ISUZU,1203
2014,IVECO,55
2014,JJCC,10
2014,KIA,77
2014,KOMATSU,32
2014,LAND ROVER,9
2014,LIEBHERR,10
2014,MAN,96
2014,MERCEDES BENZ,225
2014,MITSUBISHI,2266
2014,NISSAN,3106
2014,OPEL,30
2014,OTHERS,51
2014,PEUGEOT,56
2014,RENAULT,70
2014,SAKAI,7
2014,SCANIA,365
2014,SCHOPF,5
2014,SHACMAN,15
2014,SSANGYONG,30
2014,T.C.M.,28
2014,TADANO FAUN,5
2014,TAILIFT,9
2014,TENNANT,39
2014,TEREX,9
2014,TOYOTA,3354
2014,TREPEL,10
2014,UD TRUCKS,223
2014,UNICARRIERS,6
2014,VOLKSWAGEN,52
2014,VOLVO,235
2014,WIRTGEN,8
2014,YALE,6
2015,ACHLEITNER,7
2015,BOBCAT,7
2015,CATERPILLAR,11
2015,CITROEN,127
2015,D.A.F.,5
2015,DOOSAN,5
2015,DULEVO,8
2015,FIAT,329
2015,FORD,18
2015,G.CPOWER,5
2015,GROVE,11
2015,HCF,9
2015,HINO,473
2015,HYSTER,5
2015,HYUNDAI,116
2015,ISUZU,1718
2015,IVECO,46
2015,JAC,20
2015,JJCC,8
2015,KIA,107
2015,KOMATSU,16
2015,LAND ROVER,51
2015,LIEBHERR,14
2015,MAN,75
2015,MERCEDES BENZ,237
2015,MITSUBISHI,2425
2015,NISSAN,3661
2015,OPEL,29
2015,OTHERS,35
2015,PEUGEOT,75
2015,RENAULT,92
2015,SAKAI,17
2015,SCANIA,193
2015,SHACMAN,6
2015,SSANGYONG,37
2015,T.C.M.,35
2015,TAILIFT,5
2015,TENNANT,57
2015,TEREX,8
2015,TOYOTA,4577
2015,UD TRUCKS,172
2015,UNICARRIERS,39
2015,VOLKSWAGEN,108
2015,VOLVO,115
2015,WIRTGEN,8
2015,YALE,35
2016,AMMANN,4
2016,BEIBEN,5
2016,BOBCAT,8
2016,BOMAG,1
2016,CAMC,4
2016,CATERPILLAR,4
2016,CIMC AIR MARREL SAS,12
2016,CITROEN,77
2016,COMAC,1
2016,CVS FERRARI,1
2016,D.A.F.,26
2016,DOOSAN,1
2016,FIAT,518
2016,FORD,15
2016,FOTON,17
2016,GIANNI FERRARI,1
2016,GROVE,5
2016,GUANGTAI,2
2016,HAMM,5
2016,HINO,696
2016,HYSTER,2
2016,HYUNDAI,100
2016,ISUZU,2139
2016,IVECO,70
2016,J.C.B.,1
2016,JAC,37
2016,JJCC,2
2016,KALMAR,4
2016,KARCHER,1
2016,KIA,97
2016,KOMATSU,5
2016,LAND ROVER,46
2016,LEKTRO,2
2016,LIEBHERR,1
2016,LINDE,3
2016,MAN,74
2016,MANITOU,5
2016,MAXIMAL,7
2016,MAXUS,3
2016,MERCEDES BENZ,302
2016,MITSUBISHI,3021
2016,NEW HOLLAND,6
2016,NILFISK,2
2016,NISSAN,3724
2016,OPEL,44
2016,PEUGEOT,142
2016,RENAULT,98
2016,ROSENBAUER,1
2016,SAKAI,21
2016,SCANIA,179
2016,SCHOPF,3
2016,SHACMAN,5
2016,SSANGYONG,16
2016,SUZUKI,37
2016,T.C.M.,45
2016,TAILIFT,4
2016,TENNANT,16
2016,TEREX,1
2016,TLD,10
2016,TOYOTA,5291
2016,UD TRUCKS,199
2016,UNICARRIERS,18
2016,VOGELE,5
2016,VOLKSWAGEN,15
2016,VOLVO,117
2016,WIRTGEN,8
2016,XUGONG,2
2016,YALE,4
2016,ZOOMLION,1
2017,BEIBEN,10
2017,BOBCAT,7
2017,CAMC,58
2017,CATERPILLAR,3
2017,CIMC AIR MARREL SAS,17
2017,CITROEN,153
2017,COMBILIFT,1
2017,CVS FERRARI,4
2017,D.A.F.,40
2017,DAEWOO,2
2017,DEMAG,1
2017,DULEVO,14
2017,EVERLIFT,3
2017,FIAT,668
2017,FIMAP,1
2017,FORD,19
2017,FOTON,21
2017,FTBCI,2
2017,GREEN MACHINE,3
2017,GUANGTAI,17
2017,HAMM,8
2017,HINO,570
2017,HOLDING,2
2017,HYSTER,2
2017,HYUNDAI,46
2017,ISUZU,1590
2017,IVECO,11
2017,JAC,66
2017,JEEP,1
2017,JJCC,2
2017,KALMAR,7
2017,KIA,106
2017,KOMATSU,5
2017,LAND ROVER,13
2017,LEKTRO,1
2017,LIEBHERR,1
2017,LINDE,3
2017,MAN,112
2017,MANITOU,2
2017,MAXIMAL,3
2017,MAXUS,150
2017,MERCEDES BENZ,280
2017,MITSUBISHI,2181
2017,NICHIYU,1
2017,NISSAN,5771
2017,OPEL,96
2017,PEUGEOT,202
2017,RENAULT,105
2017,ROSENBAUER,2
2017,ROYAL,1
2017,SAKAI,9
2017,SCANIA,157
2017,SCHOPF,1
2017,SHACMAN,1
2017,SSANGYONG,42
2017,STILL,1
2017,SUZUKI,157
2017,T.C.M.,28
2017,TADANO FAUN,3
2017,TENNANT,3
2017,TEREX,2
2017,TLD,20
2017,TOYOTA,6417
2017,TREPEL,1
2017,UD TRUCKS,257
2017,UNICARRIERS,20
2017,VOGELE,2
2017,VOLKSWAGEN,150
2017,VOLVO,75
2017,WIRTGEN,5
2017,XCMG,2
2017,YALE,11
2018,ACHLEITNER,
2018,AMMANN,
2018,AMSS,
2018,BAOLI,2
2018,BEIBEN,2
2018,BEIQI,
2018,BLISS FOX,1
2018,BOBCAT,10
2018,BOMAG,2
2018,CAMC,
2018,Camel Aerotech,
2018,CATERPILLAR,13
2018,CHERY,
2018,CHEVROLET,
2018,CIMC AIR MARREL SAS,2
2018,CITROEN,271
2018,COMAC,
2018,COMBILIFT,
2018,CVS FERRARI,
2018,D.A.F.,16
2018,DAEWOO,
2018,DAIHATSU,
2018,DEMAG,
2018,DONGFENG,
2018,DOOSAN,
2018,DULEVO,2
2018,EVERLIFT,
2018,FIAT,165
2018,FIMAP,
2018,FORD,2
2018,FOTON,
2018,FTBCI,
2018,G.CPOWER,
2018,GALLOP,
2018,GIANNI FERRARI,
2018,GOLDEN DRAGON,
2018,GREEN MACHINE,
2018,GROVE,
2018,GUANGTAI,13
2018,HAFEI,
2018,HAMM,5
2018,HANGFU,1
2018,HC,1
2018,HCF,
2018,HECHA,
2018,HINO,620
2018,HOLDING,
2018,HONDA,
2018,HYSTER,
2018,HYUNDAI,35
2018,ISUZU,834
2018,IVECO,
2018,J.C.B.,
2018,JAC,3
2018,JBT AEROTECH,
2018,JEEP,
2018,JINBEI,
2018,JJCC,
2018,JOHN DEERE,1
2018,JUNGHEINRICH,1
2018,KALMAR,1
2018,KARCHER,
2018,KIA,162
2018,KOMATSU,
2018,KUBOTA,1
2018,LAND ROVER,
2018,LEKTRO,1
2018,LIEBHERR,
2018,LINDE,
2018,MADVAC,
2018,MAN,86
2018,MANITOU,
2018,MAXIMAL,
2018,MAXUS,
2018,MERCEDES BENZ,298
2018,MITSUBISHI,1053
2018,MITSUOKA,1
2018,NEW HOLLAND,
2018,NICHIYU,
2018,NILFISK,1
2018,NISSAN,2500
2018,OPEL,77
2018,OSHKOSH,
2018,PEUGEOT,100
2018,RENAULT,76
2018,ROSENBAUER,4
2018,ROYAL,
2018,SAKAI,16
2018,SCANIA,113
2018,SCHOPF,
2018,SHACMAN,
2018,SSANGYONG,51
2018,STILL,
2018,STK,
2018,SUZUKI,115
2018,T.C.M.,19
2018,TADANO FAUN,2
2018,TAILIFT,
2018,TENNANT,2
2018,TERBERG,1
2018,TEREX,
2018,TLD,23
2018,TOYOTA,5755
2018,TREPEL,
2018,TUG MANUFACTURING,1
2018,UD TRUCKS,12
2018,UNICARRIERS,7
2018,VOGELE,6
2018,VOLKSWAGEN,76
2018,VOLVO,80
2018,WIRTGEN,10
2018,WULING,
2018,XCMG,
2018,XUGONG,
2018,YALE,
2018,ZOOMLION,
2018,OTHERS,
2019,ACHLEITNER,
2019,AMMANN,
2019,AMSS,
2019,BAOLI,
2019,BEIBEN,3
2019,BEIQI,
2019,BLISS FOX,
2019,BOBCAT,3
2019,BOMAG,1
2019,BYD,7
2019,CAMC,6
2019,Camel Aerotech,
2019,CATERPILLAR,7
2019,CHERY,
2019,CHEVROLET,
2019,CIMC AIR MARREL SAS,
2019,CITROEN,112
2019,COMAC,
2019,COMBILIFT,
2019,CVS FERRARI,
2019,D.A.F.,
2019,DAEWOO,
2019,DEMAG,
2019,DONGFENG,
2019,DOOSAN,
2019,DULEVO,1
2019,EVERLIFT,
2019,FIAT,221
2019,FIMAP,1
2019,FORD,30
2019,FOTON,3
2019,FRAMO,1
2019,FTBCI,1
2019,G.CPOWER,
2019,GALLOP,
2019,GIANNI FERRARI,
2019,GREEN MACHINE,
2019,GROVE,3
2019,GUANGTAI,14
2019,HAFEI,
2019,HAMM,13
2019,HANGFU,
2019,HC,1
2019,HCF,
2019,HECHA,
2019,HINO,684
2019,HOLDING,
2019,HONDA,
2019,HUMDINGA,1
2019,HYSTER,
2019,HYUNDAI,32
2019,ISAL,1
2019,ISUZU,863
2019,IVECO,1
2019,J.C.B.,
2019,JAC,
2019,JBT AEROTECH,
2019,JEEP,
2019,JINBEI,
2019,JJCC,
2019,JOHN DEERE,
2019,JUNGHEINRICH,
2019,KALMAR,3
2019,KARCHER,
2019,KIA,238
2019,KOMATSU,2
2019,KUBOTA,
2019,LAND ROVER,
2019,LEKTRO,2
2019,LIEBHERR,3
2019,LINDE,
2019,MADVAC,
2019,MAN,60
2019,MANITOU,2
2019,MAXIMAL,
2019,MAXUS,3
2019,MERCEDES BENZ,325
2019,MITSUBISHI,1502
2019,MITSUOKA,1
2019,NEW HOLLAND,
2019,NICHIYU,3
2019,NILFISK,
2019,NISSAN,2504
2019,OPEL,52
2019,OSHKOSH,
2019,PEUGEOT,122
2019,RENAULT,96
2019,ROSENBAUER,7
2019,ROYAL,
2019,SAKAI,4
2019,SANY,1
2019,SCANIA,213
2019,SCHOPF,
2019,SHACMAN,
2019,SOCMA,3
2019,SSANGYONG,55
2019,STILL,
2019,SUZUKI,111
2019,T.C.M.,17
2019,TADANO FAUN,2
2019,TAILIFT,
2019,TENNANT,7
2019,TERBERG,
2019,TEREX,2
2019,TLD,4
2019,TOYOTA,5853
2019,TREPEL,
2019,TUG MANUFACTURING,
2019,UD TRUCKS,98
2019,UNICARRIERS,16
2019,VOGELE,4
2019,VOLKSWAGEN,46
2019,VOLVO,52
2019,WIRTGEN,10
2019,WULING,
2019,XCMG,
2019,XUGONG,
2019,YALE,
2019,ZOOMLION,
2019,OTHERS,
2020,ACHLEITNER,
2020,AMMANN,
2020,AMSS,
2020,BAOLI,
2020,BEIBEN,2
2020,BEIQI,
2020,BLISS FOX,
2020,BOBCAT,
2020,BOMAG,
2020,BYD,20
2020,CAMC,16
2020,Camel Aerotech,
2020,CATERPILLAR,12
2020,CHERY,
2020,CHEVROLET,
2020,CIMC AIR MARREL SAS,
2020,CITROEN,121
2020,COMAC,
2020,COMBILIFT,
2020,CROWN,1
2020,CVS FERRARI,
2020,D.A.F.,
2020,DAEWOO,
2020,DEMAG,
2020,DONGFENG,
2020,DOOSAN,
2020,DULEVO,1
2020,E-P,1
2020,EVERLIFT,
2020,FIAT,68
2020,FIMAP,
2020,FORD,29
2020,FOTON,5
2020,FRAMO,
2020,FTBCI,
2020,G.CPOWER,
2020,GALLOP,
2020,GIANNI FERRARI,
2020,GOLDHOFER,6
2020,GREEN MACHINE,
2020,GROVE,1
2020,GUANGTAI,7
2020,HAMM,
2020,HANGFU,
2020,HC,1
2020,HCF,
2020,HECHA,
2020,HINO,495
2020,HOLDING,
2020,HUMDINGA,
2020,HYSTER,5
2020,HYUNDAI,2
2020,ISAL,
2020,ISUZU,513
2020,IVECO,2
2020,J.C.B.,
2020,JAC,2
2020,JBT AEROTECH,
2020,JEEP,6
2020,JINBEI,
2020,JJCC,
2020,JOHN DEERE,
2020,JUNGHEINRICH,
2020,KALMAR,
2020,KARCHER,
2020,KIA,120
2020,KOMATSU,
2020,KUBOTA,
2020,LAND ROVER,
2020,LEKTRO,2
2020,LIEBHERR,8
2020,LINDE,1
2020,MADVAC,
2020,MAN,28
2020,MANITOU,1
2020,MAXIMAL,
2020,MAXUS,27
2020,MERCEDES BENZ,237
2020,MITSUBISHI,1001
2020,MITSUOKA,
2020,MULAG,1
2020,NEW HOLLAND,
2020,NICHIYU,
2020,NILFISK,
2020,NISSAN,1756
2020,OPEL,24
2020,OSHKOSH,
2020,PEUGEOT,116
2020,RENAULT,37
2020,ROSENBAUER,8
2020,ROYAL,
2020,SAKAI,4
2020,SANY,
2020,SCANIA,96
2020,SCHOPF,
2020,SHACMAN,
2020,SINOTRUK,1
2020,SOCMA,12
2020,SSANGYONG,19
2020,STILL,
2020,SUZUKI,69
2020,T.C.M.,11
2020,TADANO FAUN,1
2020,TAILIFT,2
2020,TENNANT,2
2020,TERBERG,
2020,TEREX,
2020,TLD,4
2020,TOYOTA,4752
2020,TREPEL,
2020,TUG MANUFACTURING,
2020,UD TRUCKS,52
2020,UNICARRIERS,1
2020,VOGELE,1
2020,VOLKSWAGEN,66
2020,VOLVO,54
2020,WIRTGEN,2
2020,XCMG,
2020,XUGONG,
2020,YALE,
2020,ZOOMLION,
2020,OTHERS,
2021,ACHLEITNER,10
2021,AMMANN,
2021,AMSS,
2021,BAOLI,
2021,BEIBEN,
2021,BEIQI,
2021,BLISS FOX,
2021,BOBCAT,7
2021,BOMAG,
2021,BYD,190
2021,CAMC,56
2021,Camel Aerotech,
2021,CATERPILLAR,55
2021,CHARLATTE,42
2021,CHERY,
2021,CHEVROLET,
2021,CIMC AIR MARREL SAS,
2021,CITROEN,100
2021,CLARK,2
2021,COMAC,
2021,COMBILIFT,
2021,CROWN,
2021,CVS FERRARI,
2021,D.A.F.,
2021,DAEWOO,
2021,DEMAG,
2021,DONGFENG,
2021,DOOSAN,14
2021,DULEVO,2
2021,E-P,8
2021,EVERLIFT,
2021,FIAT,29
2021,FIMAP,
2021,FORD,31
2021,FOTON,2
2021,FRAMO,
2021,FTBCI,
2021,G.CPOWER,
2021,GALLOP,
2021,GIANNI FERRARI,
2021,GOLDEN DRAGON,1
2021,GOLDHOFER,
2021,GREEN MACHINE,
2021,GROVE,
2021,GUANGTAI,
2021,HAMM,8
2021,HANGFU,
2021,HC,3
2021,HCF,
2021,HECHA,
2021,HELI,5
2021,HINO,631
2021,HOLDING,
2021,HONDA,39
2021,HUMDINGA,
2021,HYSTER,6
2021,HYUNDAI,6
2021,ISAL,
2021,ISUZU,675
2021,IVECO,10
2021,J.C.B.,
2021,JAC,
2021,JAGUAR,1
2021,JBT AEROTECH,
2021,JEEP,13
2021,JINBEI,
2021,JJCC,
2021,JOHN DEERE,
2021,JUNGHEINRICH,
2021,KALMAR,1
2021,KARCHER,
2021,KIA,41
2021,KOMATSU,1
2021,KUBOTA,
2021,LAND ROVER,4
2021,LEKTRO,
2021,LIEBHERR,2
2021,LINDE,
2021,MADVAC,3
2021,MAN,44
2021,MANITOU,1
2021,MASERATI,1
2021,MAXIMAL,
2021,MAXUS,54
2021,MERCEDES BENZ,313
2021,MITSUBISHI,1231
2021,MITSUOKA,1
2021,MULAG,
2021,NEW HOLLAND,
2021,NICHIYU,2
2021,NILFISK,
2021,NISSAN,2849
2021,OPEL,55
2021,OSHKOSH,
2021,PEUGEOT,99
2021,RENAULT,29
2021,ROSENBAUER,4
2021,ROYAL,
2021,SAFERLIFTS,1
2021,SAKAI,10
2021,SANY,5
2021,SCANIA,125
2021,SCHOPF,
2021,SHACMAN,
2021,SINOTRUK,
2021,SOCMA,6
2021,SPL,10
2021,SSANGYONG,17
2021,STILL,
2021,SUZUKI,180
2021,T.C.M.,20
2021,TADANO FAUN,1
2021,TAILIFT,
2021,TENNANT,1
2021,TERBERG,4
2021,TEREX,
2021,TLD,
2021,TOYOTA,4463
2021,TREPEL,
2021,TUG MANUFACTURING,
2021,UD TRUCKS,42
2021,UNICARRIERS,3
2021,UTILEV,1
2021,VOGELE,1
2021,VOLKSWAGEN,92
2021,VOLVO,22
2021,WIRTGEN,5
2021,XCMG,3
2021,XUGONG,
2021,YALE,1
2021,ZOOMLION,1
2021,OTHERS,
2022,ACHLEITNER,10
2022,AMMANN,
2022,AMSS,
2022,BAOLI,
2022,BEIBEN,3
2022,BEIQI,
2022,BLISS FOX,
2022,BOBCAT,3
2022,BOMAG,1
2022,BYD,484
2022,CAMC,39
2022,CAMEL AEROTECH,
2022,CASE IH,1
2022,CATERPILLAR,35
2022,CHARLATTE,
2022,CHERY,
2022,CHEVROLET,
2022,CIMC AIR MARREL SAS,1
2022,CITROEN,328
2022,CLARK,1
2022,COMAC,
2022,COMBILIFT,
2022,CROWN,
2022,CVS FERRARI,
2022,D.A.F.,6
2022,DAEWOO,
2022,DEMAG,3
2022,DFSK,203
2022,DONGFENG,
2022,DOOSAN,1
2022,DULEVO,
2022,E-P,2
2022,EVERLIFT,
2022,FIAT,
2022,FIMAP,
2022,FORD,24
2022,FOTON,59
2022,FRAMO,
2022,FTBCI,
2022,FURD,1
2022,G.CPOWER,
2022,GALLOP,
2022,GIANNI FERRARI,
2022,GOLDEN DRAGON,69
2022,GOLDHOFER,1
2022,GREEN MACHINE,
2022,GROVE,3
2022,GUANGTAI,3
2022,HAMM,3
2022,HANGFU,
2022,HC,4
2022,HCF,
2022,HELI,12
2022,HIGER,15
2022,HINO,774
2022,HOLDING,
2022,HONDA,542
2022,HUMDINGA,
2022,HYSTER,6
2022,HYUNDAI,11
2022,ISAL,
2022,ISUZU,708
2022,IVECO,27
2022,J.C.B.,
2022,JAC,
2022,JAGUAR,
2022,JBT AEROTECH,
2022,JEEP,5
2022,JINBEI,
2022,JJCC,
2022,JOHN DEERE,
2022,JUNGHEINRICH,
2022,KALMAR,
2022,KARCHER,
2022,KIA,11
2022,KOMATSU,1
2022,KUBOTA,
2022,LAND ROVER,8
2022,LEKTRO,
2022,LIEBHERR,2
2022,LINDE,1
2022,MADVAC,6
2022,MAN,17
2022,MANITOU,1
2022,MASERATI,
2022,MAXIMAL,
2022,MAXUS,69
2022,MERCEDES BENZ,225
2022,MITSUBISHI,1303
2022,MITSUOKA,1
2022,MULAG,
2022,NEW HOLLAND,
2022,NICHIYU,1
2022,NILFISK,
2022,NISSAN,837
2022,OPEL,139
2022,OSHKOSH,
2022,PEUGEOT,2
2022,QINGCHA,1
2022,RENAULT,11
2022,ROSENBAUER,
2022,ROYAL,
2022,SAFERLIFTS,
2022,SAKAI,11
2022,SANY,4
2022,SCANIA,106
2022,SCHOPF,
2022,SHACMAN,
2022,SINOTRUK,15
2022,SOCMA,4
2022,SOKON,28
2022,SPL,
2022,SSANGYONG,1
2022,STILL,4
2022,SUZUKI,358
2022,T.C.M.,10
2022,TADANO FAUN,
2022,TAILIFT,
2022,TENNANT,
2022,TERBERG,6
2022,TEREX,
2022,TLD,
2022,TOYOTA,3704
2022,TREPEL,
2022,TUG MANUFACTURING,
2022,UD TRUCKS,60
2022,UNICARRIERS,2
2022,UTILEV,
2022,VOGELE,3
2022,VOLKSWAGEN,17
2022,VOLVO,68
2022,WIRTGEN,6
2022,XCMG,12
2022,XUGONG,
2022,YALE,2
2022,YANMAR,1
2022,ZOOMLION,2
2022,OTHERS,
2023,ACHLEITNER,10
2023,AMMANN,
2023,AMSS,
2023,BAOLI,
2023,BEIBEN,8
2023,BEIQI,
2023,BLISS FOX,
2023,BOBCAT,17
2023,BOMAG,3
2023,BYD,311
2023,CAMC,99
2023,Camel Aerotech,
2023,CASE IH,
2023,CATERPILLAR,8
2023,CHARLATTE,
2023,CHEVROLET,
2023,CIMC AIR MARREL SAS,
2023,CITROEN,156
2023,CLARK,2
2023,COMAC,
2023,COMBILIFT,
2023,CROWN,
2023,CVS FERRARI,
2023,D.A.F.,19
2023,DAEWOO,
2023,DEMAG,
2023,DFSK,118
2023,DONGFENG,
2023,DOOSAN,3
2023,DULEVO,4
2023,E-P,1
2023,EVERLIFT,
2023,FIAT,
2023,FIMAP,
2023,FORD,27
2023,FOTON,84
2023,FRAMO,
2023,FTBCI,
2023,FURD,
2023,G.CPOWER,
2023,GALLOP,
2023,GIANNI FERRARI,
2023,GOLDEN DRAGON,95
2023,GOLDHOFER,
2023,GREEN MACHINE,
2023,GROVE,1
2023,GUANGTAI,2
2023,HAMM,1
2023,HANGFU,
2023,HC,10
2023,HCF,
2023,HELI,13
2023,HIGER,42
2023,HINO,739
2023,HOLDING,
2023,HONDA,300
2023,HUMDINGA,
2023,HYSTER,7
2023,HYUNDAI,3
2023,ISAL,
2023,ISUZU,457
2023,IVECO,25
2023,J.C.B.,
2023,JAC,2
2023,JAGUAR,
2023,JBT AEROTECH,
2023,JEEP,
